"model_B-MAX","model_C-MAX","model_EcoSport","model_Edge","model_Fiesta","model_Focus","model_Galaxy","model_Grand C-MAX","model_Grand Tourneo Connect","model_KA","model_Ka+","model_Kuga","model_Mondeo","model_Puma","model_S-MAX","model_Tourneo Connect","model_Tourneo Custom","year","price","transmission_Automatic","transmission_Manual","transmission_Semi-Auto","mileage","fuelType_Diesel","fuelType_Hybrid","fuelType_Petrol","tax","mpg","engineSize"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,12000,1,0,0,0.264838286350272,0,0,1,0.727272727272727,0.558510638297872,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,14000,0,1,0,0.150866293460024,0,0,1,0.727272727272727,0.558510638297872,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,13000,0,1,0,0.206897124536952,0,0,1,0.727272727272727,0.558510638297872,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,17500,0,1,0,0.173740427581854,0,0,1,0.636363636363636,0.0957446808510637,0.384615384615385
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,16500,1,0,0,0.0246017375703915,0,0,1,0.636363636363636,0.319148936170213,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,10500,0,1,0,0.588564594096247,0,0,1,0.636363636363636,0.297872340425532,0.461538461538462
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.857142857142857,22500,0,1,0,0.0336882672469642,0,0,1,0.636363636363636,0.36436170212766,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,9000,0,1,0,0.216830844366185,0,0,1,0.636363636363636,0.468085106382979,0.153846153846154
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,25500,1,0,0,0.114503563182113,1,0,0,0.636363636363636,0.146276595744681,0.769230769230769
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,10000,0,1,0,0.799681057824881,0,0,1,0.636363636363636,0.656914893617021,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,11561,0,1,0,0.312330769614113,0,0,1,0.636363636363636,0.526595744680851,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,13500,0,1,0,0.200402000033223,0,0,1,0.636363636363636,0.468085106382979,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,17999,0,0,1,0.14952075615874,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,18999,0,0,1,0.148989185866875,1,0,0,0.636363636363636,0.590425531914894,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,14399,0,1,0,0.212777620890712,1,0,0,0.636363636363636,0.731382978723404,0.384615384615385
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.857142857142857,17999,0,1,0,0.173208857289988,1,0,0,0.636363636363636,0.0398936170212766,0.769230769230769
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,16899,0,1,0,0.243841259821592,1,0,0,0.636363636363636,0.468085106382979,0.769230769230769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,12500,0,1,0,0.423927307762587,0,0,1,0.636363636363636,0.497340425531915,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,9499,0,1,0,0.338859449492517,0,0,1,0.636363636363636,0.497340425531915,0.076923076923077
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,10500,0,1,0,0.414043422648217,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,8995,0,1,0,0.434591936743135,0,0,1,0.636363636363636,0.771276595744681,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.714285714285714,15287,0,0,1,0.550640376085981,1,0,0,0.636363636363636,0.590425531914894,0.384615384615385
